episode,samples,copy_mse,mean_delta_norm,static_token_ratio,changed_token_ratio
0,10,0.012076337334445065,2.3463443375609416,0.0,0.052685421994884914
1,10,0.020686373655753366,2.9038116220927908,0.0,0.12020460358056266
2,10,0.00999723639329681,2.1759191176470587,0.0,0.05089514066496164
3,12,0.01906350173075181,2.73270825372226,0.0,0.12595907928388747
4,11,0.013501437264413397,2.3240307415676407,0.0,0.07579632643571263
5,13,0.022166076500116077,3.003147891485712,0.0,0.12768050363958292
6,9,0.016734843363847268,2.5568358629188204,0.0,0.1148053424268258
7,10,0.024345142990731827,2.956644465063539,0.0,0.1329923273657289
8,10,0.015354419486297061,2.3278569331254495,0.0,0.11278772378516624
9,13,0.015101512616634744,2.3926949719615322,0.0,0.09797363761558135
10,10,0.01219214466221802,2.1306915283203125,0.0,0.05677749360613811
11,9,0.02093617351734696,2.8118617412006697,0.0,0.13611821540210287
12,10,0.012863488514405077,2.367325734482397,0.0,0.08465473145780052
13,10,0.013209241293275447,2.3108607221442417,0.0,0.07468030690537085
14,9,0.01453798824699469,2.671229352460527,0.0,0.07757885763000852
15,11,0.01351394666624302,2.3151513822298777,0.0,0.08463148105091839
16,11,0.018232962747585825,2.6381899725695153,0.0,0.10881190420832365
17,10,0.01303465430388975,2.307528467983236,0.0,0.07493606138107417
18,9,0.015270821578667292,2.7109145185899313,0.0,0.09207161125319693
19,10,0.021209362263569745,2.7965452852761348,0.0,0.12583120204603582
20,10,0.01752457306208208,2.545445075852182,0.0,0.09539641943734016
21,10,0.013436450151836171,2.182795797284607,0.0,0.08286445012787724
22,10,0.016506240229167597,2.6335684773867087,0.0,0.10383631713554987
23,10,0.02164958755073645,3.014184601532529,0.0,0.13657289002557546
24,11,0.01890007698710534,2.706315076730884,0.0,0.11346198558474774
25,10,0.017801542385764743,2.652251885065337,0.0,0.10946291560102302
26,10,0.012187625944157086,2.3255552404067097,0.0,0.0741687979539642
27,10,0.021046020063902715,3.0250196217880836,0.0,0.13478260869565217
28,9,0.013383769284394966,2.3795405542623524,0.0,0.08638817845978972
29,10,0.01566505255296712,2.5129667550401615,0.0,0.09846547314578005
30,10,0.023139605589230044,3.025668405206002,0.0,0.12941176470588237
31,10,0.016468243983090686,2.57100137773987,0.0,0.10741687979539642
32,10,0.01305033633166262,2.353916224799193,0.0,0.08644501278772379
33,10,0.01742447129905681,2.7190085954983214,0.0,0.09667519181585678
34,10,0.012196634233455218,2.217217455617607,0.0,0.07723785166240409
35,13,0.016781107942677613,2.670277627227861,0.0,0.09561282707062758
36,9,0.01397613003430769,2.51880489868615,0.0,0.08553566354077863
37,10,0.02089026030677054,3.015007694176091,0.0,0.11662404092071611
38,10,0.019117461659414383,2.82276349860384,0.0,0.11074168797953964
39,11,0.017091720111423857,2.6485954236773606,0.0,0.095559172285515
40,9,0.014167282528144184,2.314033432418767,0.0,0.09462915601023018
41,10,0.021139484994551715,2.9161925801230817,0.0,0.12557544757033248
42,11,0.018885479226164473,2.6785431759658453,0.0,0.12276214833759591
43,10,0.016995512204401937,2.6910060716711954,0.0,0.08900255754475703
44,10,0.01525516116710575,2.34427356768752,0.0,0.10153452685421994
45,10,0.01645249902744732,2.564780248461477,0.0,0.09872122762148337
46,10,0.016194461388966006,2.725588762912604,0.0,0.10485933503836317
47,10,0.015398083577680466,2.4252610696856016,0.0,0.1020460358056266
48,11,0.0163208943373989,2.4635962366752917,0.0,0.09416414787258777
49,11,0.014565415838046896,2.278989457053047,0.09090909090909091,0.09090909090909091
